City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Vardo,NO,70.3705,31.1107,37.38,100,100,12.66,overcast clouds
1,Torbay,CA,47.6666,-52.7314,47.17,57,20,18.41,few clouds
2,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,5,4.79,clear sky
3,Pachino,IT,36.7186,15.0907,60.26,67,0,3.02,clear sky
4,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,92,100,3.96,overcast clouds
5,Saldanha,ZA,-33.0117,17.9442,55.45,94,77,1.57,broken clouds
6,Hermanus,ZA,-34.4187,19.2345,61.81,81,100,15.01,overcast clouds
7,Papayal,PE,-4.0761,-80.7361,72.3,87,98,2.86,overcast clouds
8,Sayat,TM,38.7839,63.8803,58.87,31,15,11.65,few clouds
9,Myre,NO,69.1036,15.9492,43.34,92,100,9.84,light rain
10,Ilulissat,GL,69.2167,-51.1,24.82,54,13,0.0,few clouds
11,Victoria,HK,22.2855,114.1577,78.85,95,100,10.0,moderate rain
12,Castro,BR,-24.7911,-50.0119,59.4,89,100,1.9,light rain
13,Granja,BR,-3.1203,-40.8261,73.09,97,100,1.9,moderate rain
14,Oranjestad,AW,12.524,-70.027,82.35,78,20,21.85,few clouds
15,Yarmouth,US,41.7057,-70.2286,50.02,73,0,18.01,clear sky
16,Port Elizabeth,ZA,-33.918,25.5701,64.69,91,20,20.71,few clouds
17,San Cristobal,VE,7.7669,-72.225,73.58,99,100,3.69,overcast clouds
18,La Asuncion,VE,11.0333,-63.8628,80.33,74,74,20.71,broken clouds
19,Honningsvag,NO,70.9821,25.9704,37.15,87,100,9.22,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,40.66,75,0,5.75,clear sky
21,La Tuque,CA,47.4334,-72.7824,71.85,18,96,2.3,overcast clouds
22,Bathurst,AU,-33.4166,149.5806,58.96,70,100,1.99,light rain
23,Iqaluit,CA,63.7506,-68.5145,29.93,100,100,19.57,light snow
24,Rocha,UY,-34.4833,-54.3333,57.56,91,100,5.37,overcast clouds
25,Havoysund,NO,70.9963,24.6622,37.63,94,100,12.57,overcast clouds
26,Ous,RU,60.9058,61.5186,48.65,76,100,4.9,overcast clouds
27,Busselton,AU,-33.65,115.3333,63.21,75,100,3.6,overcast clouds
28,Lardos,GR,36.0942,28.0157,60.94,84,4,12.03,clear sky
29,Vestmanna,FO,62.1564,-7.1664,43.72,100,75,5.75,broken clouds
30,Georgetown,MY,5.4112,100.3354,75.15,89,40,5.01,light rain
31,Bahir Dar,ET,11.5936,37.3908,70.14,62,91,3.71,overcast clouds
32,Cidreira,BR,-30.1811,-50.2056,63.61,95,100,1.3,moderate rain
