City ID,City,Country,Humidity,Max Temp,Description,Lat,Lng,Hotel Name
11,Victoria,HK,95,78.85,moderate rain,22.2855,114.1577,Mini Central
14,Oranjestad,AW,78,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
18,La Asuncion,VE,74,80.33,broken clouds,11.0333,-63.8628,Colinas de Matasiete
30,Georgetown,MY,89,75.15,light rain,5.4112,100.3354,Cititel Penang
34,Grand Gaube,MU,80,75.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
39,Saint-Louis,SN,48,87.44,clear sky,16.3333,-15.0,
40,Mahebourg,MU,94,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Caraballeda,VE,86,78.73,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
56,Hithadhoo,MV,74,84.07,overcast clouds,-0.6,73.0833,Scoop Guest House
63,Salalah,OM,61,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
71,Jacqueville,CI,83,82.08,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
76,Kutum,SD,11,77.54,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
79,Dingle,PH,64,85.93,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
82,Eyl,SO,79,82.6,light rain,7.9803,49.8164,Amiin Hotel
87,Buchanan,LR,88,78.39,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
90,Uthal,PK,80,81.1,clear sky,25.8072,66.6219,Al-Mustafa Hotel
104,Bonthe,SL,88,80.06,light rain,7.5264,-12.505,Bonthe Holiday Village
107,Quatre Cocos,MU,79,75.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
108,Cap Malheureux,MU,80,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
113,Nouakchott,MR,79,75.13,few clouds,18.0858,-15.9785,HOTEL IMAN
114,Mabaruma,GY,87,75.69,clear sky,8.2,-59.7833,Monty Brooms Guest House
115,Galle,LK,84,82.06,overcast clouds,6.0367,80.217,Amangalla
122,Bambous Virieux,MU,94,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
124,Cabinda,AO,89,77.52,overcast clouds,-5.55,12.2,Hotel Maiombe
126,Manali,IN,79,87.89,heavy intensity rain,13.1667,80.2667,Sarathy Lodge
129,Bubaque,GW,73,77.72,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
131,Marawi,PH,77,77.94,overcast clouds,7.9986,124.2928,Derogongan Residence
135,Okemos,US,57,80.58,broken clouds,42.7223,-84.4275,Marriott East Lansing at University Place
137,Kudahuvadhoo,MV,76,84.4,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
142,Sinnamary,GF,87,77.34,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
144,Cayenne,GF,1,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
145,Zinder,NE,40,86.04,overcast clouds,13.8072,8.9881,Hotel de Ville
153,Saint Anthony,US,27,78.73,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
162,Sompeta,IN,83,81.73,broken clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
167,Bandarbeyla,SO,81,81.52,clear sky,9.4942,50.8122,JABIR HOTEL
169,Sur,OM,50,82.11,clear sky,22.5667,59.5289,Sur Plaza Hotel
172,Axim,GH,86,80.24,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
173,Shahi,IN,43,84.11,clear sky,28.55,79.3167,Pinky
175,San Miguel,SV,81,80.65,few clouds,13.4833,-88.1833,Excalibur
