City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Porto Santo,PT,2022-05-08 17:08:55,33.072,-16.3415,66.58,59,20,16.11
1,Saint George,US,2022-05-08 17:08:55,37.1041,-113.5841,77.79,11,0,5.75
2,Grindavik,IS,2022-05-08 17:08:56,63.8424,-22.4338,54.07,76,75,20.71
3,East London,ZA,2022-05-08 17:08:56,-33.0153,27.9116,64.26,73,85,15.82
4,Bandarbeyla,SO,2022-05-08 17:08:57,9.4942,50.8122,83.28,82,1,14.12
5,Vardo,NO,2022-05-08 17:08:57,70.3705,31.1107,31.98,80,40,9.22
6,Staunton,US,2022-05-08 17:08:58,38.1496,-79.0717,46.96,81,100,13.8
7,Saldanha,ZA,2022-05-08 17:08:58,-33.0117,17.9442,57.54,78,21,7.9
8,Biltine,TD,2022-05-08 17:08:59,14.5333,20.9167,99.52,6,1,7.72
9,Saint-Philippe,RE,2022-05-08 17:08:59,-21.3585,55.7679,72.99,83,43,8.32
10,Ushuaia,AR,2022-05-08 17:04:50,-54.8,-68.3,44.26,61,40,41.43
11,Ariquemes,BR,2022-05-08 17:09:00,-9.9133,-63.0408,87.4,61,19,1.86
12,Skelleftea,SE,2022-05-08 17:09:00,64.7507,20.9528,48.99,38,0,11.5
13,Pisco,PE,2022-05-08 17:05:16,-13.7,-76.2167,72.01,73,0,8.05
14,Dikson,RU,2022-05-08 17:09:01,73.5069,80.5464,20.75,94,99,28.45
15,Port Alfred,ZA,2022-05-08 17:09:02,-33.5906,26.891,58.17,90,91,4.0
16,Manturovo,RU,2022-05-08 17:09:02,58.3353,44.7619,54.99,60,79,12.24
17,Bambous Virieux,MU,2022-05-08 17:07:49,-20.3428,57.7575,75.45,83,40,5.75
18,Hithadhoo,MV,2022-05-08 17:09:03,-0.6,73.0833,84.72,77,73,19.33
19,Kavaratti,IN,2022-05-08 17:09:03,10.5669,72.642,85.12,72,99,15.84
20,Carnarvon,AU,2022-05-08 17:09:04,-24.8667,113.6333,62.67,88,0,5.75
21,Busselton,AU,2022-05-08 17:09:04,-33.65,115.3333,57.9,83,5,4.14
22,Araripe,BR,2022-05-08 17:09:05,-7.2125,-40.0461,85.3,40,100,8.39
23,Ponta Do Sol,PT,2022-05-08 17:09:05,32.6667,-17.1,72.72,66,15,4.92
24,Iqaluit,CA,2022-05-08 17:09:06,63.7506,-68.5145,27.7,63,30,4.0
